Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
ECCVAL,EVL,Versions,Common Data,,,,"ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
EDIBPRCPY,EBC,EDI flows by BP/company,Common Data,EDIX3,,,"COMPANY  (Company  ) , BPARTNER  (Business partner  ) , EDIPARTNER  (EDI partners  )"
EDIBPRCPYD,EBCD,EDI flows by BP/company,Common Data,EDIX3,,,"COMPANY  (Company  ) , BPARTNER  (Business partner  ) , EDIPARTNER  (EDI partners  ) , EDICAT  (EDI category  )"
TABMODELIV,TMD,Delivery methods,Common Data,,"Purchasing,Sales","Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Normal Sales Orders,Sales Deliveries","ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  )"
EDIBPRPAR,EBP,EDI partners by BP,Common Data,EDIX3,,,"BPARTNER  (Business partner  ) , EDIPARTNER  (EDI partners  )"
TABPAM,TAM,Payment mode table,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABPAM  (Payment mode table  )"
TABPAYTERM,TPT,Payment term table,Common Data,,"Purchasing,Sales","Normal Purchase Orders,Cumulative Purchase Orders,Purchase Invoice,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice","ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABPAYTERM  (Payment term table  ) , TABPAM  (Payment mode table  )"
TABPIVTYP,TPV,Supp invoice type table,Common Data,,Purchasing,Purchase Invoice,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , GAUTACE  (Automatic journals  ) , TABSIVTYP  (Customer invoice type table  ) , TABPIVTYP  (Supp invoice type table  )"
TABPNHTYP,TPN,Return type table,Common Data,TRSNE,,,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , TABPNHTYP  (Return type table  )"
EDICATL,ECAL,EDI category (legislations),Common Data,EDIX3,,,EDICAT  (EDI category  )
TABRATVAT,TRA,Tax rates,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , TABVAT  (Tax code table  )"
EDICPYPAR,ECP,EDI partners by company,Common Data,EDIX3,,,"COMPANY  (Company  ) , EDIPARTNER  (EDI partners  )"
TABSDHTYP,TSD,Table types deliveries,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , TABSDHTYP  (Table types deliveries  )"
EDIFCYPAR,EFP,EDI partner by site,Common Data,EDIX3,,,"FACILITY  (Sites  ) , EDIPARTNER  (EDI partners  )"
TABSGHTYP,TSG,Stock change type,Common Data,TRSNE,,,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , TABSGHTYP  (Stock change type  )"
TABSIVTYP,TSV,Customer invoice type table,Common Data,,Sales,Sales Invoice,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , GAUTACE  (Automatic journals  ) , TABSIVTYP  (Customer invoice type table  )"
TABSTORUL,SRU,Stock management rules,Common Data,,Stock,Stock,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , ITMCATEG  (Product category  )"
EDIFRM,EDM,Formulas,A/P-A/R accounting,,,,"BANK  (Bank accounts  ) , EDISEG  (Segments  )"
TABTNHTYP,TTN,Transportation note type,Common Data,TRSNE,,,"ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  ) , AGRPFCY  (Site groupings  ) , TABTNHTYP  (Transportation note type  )"
TABVACBPR,TVB,BP tax rule table,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  )"
EDIMSGA,EMSA,Inbound authorizations,Common Data,EDIX3,,,
TABVACITM,TVI,Tax level table,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , TABVACITM  (Tax level table  ) , MGTWASTE  (  )"
EDIMSGD,EMSD,Message mapping detail,Common Data,EDIX3,,,AOBJEXTR  (Transcribe import/export  )
TABVAT,TVT,Tax code table,Common Data,,"Accounting,Common data,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Payment,Common Tables,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries","ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABFOR  (Formula table  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  )"
EDIPAR,EDP,Message setup,A/P-A/R accounting,,,,"BANK  (Bank accounts  ) , EDISEG  (Segments  )"
TABVATEXE,TEX,Tax exemption table,Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , TABVAT  (Tax code table  )"
EDIPARTNER,EPR,EDI partners,Common Data,EDIX3,,,EDIPARTNER  (EDI partners  )
TASK,TSK,Task,Common Data,,Customer relation,Customer relations 1,"ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , SALESREP  (Sales rep  ) , CMARKETING  (Marketing campaign  ) , CORRESPOND  (Outlook contact  )"
EDIPARTNERD,EPRD,EDI partners,Common Data,EDIX3,,,"EDIPARTNER  (EDI partners  ) , EDICAT  (EDI category  )"
TAXLINK,TLK,Tax calc. basis calculation (link),Common Data,,,,"ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , AGRPFCY  (Site groupings  ) , GACCCODE  (Accounting codes  ) , BPARTNER  (Business partner  ) , TABVACBPR  (BP tax rule table  ) , ITMMASTER  (Products  ) , TABVACITM  (Tax level table  ) , ITMCATEG  (Product category  )"
EDIPTCD,EPTD,Protocol detail,Common Data,EDIX3,,,AVOLUME  (Volume  )
EDIRUN,EDR,Process launch,Common Data,EDIX3,,,"EDIPARTNER  (EDI partners  ) , EDICAT  (EDI category  )"
EDIRUND,EDRD,Process launch,Common Data,EDIX3,,,
EDISEG,EDS,Segments,A/P-A/R accounting,,,,
TCBLOB,TBB,Special folders,Common Data,,,,ATYPEPRO  (Content type  )
EDISTO,EST,Temp storage space,Common Data,EDIX3,,,"EDIPARTNER  (EDI partners  ) , EDICAT  (EDI category  )"
TCCLOB,TBC,Special text files,Common Data,,,,ATYPEPRO  (Content type  )
EDISTOC,ESTC,Text file (clob),Common Data,EDIX3,,,
EDISTOE,ESTE,Events,Common Data,EDIX3,,,
EDISTOJ,ESTJ,Error,Common Data,EDIX3,,,
EDISTOU,ESTU,Storage,Common Data,EDIX3,,,ACLASSE  (Classes  )
EDITMPLOG,EDL,Log,Common Data,EDIX3,,,
HISTOCRM,HST,History,Common Data,,,,AOBJET  (Basic objects  )
EDITRKDOC,EDK,Documents,Common Data,EDIX3,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , EDICAT  (EDI category  )"
MAILING,OMM,Mass mailing,Common Data,,Customer relation,Marketing,"AOBJET  (Basic objects  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CMARKETING  (Marketing campaign  )"
EDTDADSU,EDU,DADSU file print,Financials,DAS,,,
PHONING,OMP,Phone campaign,Common Data,,Customer relation,Marketing,"AOBJET  (Basic objects  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CMARKETING  (Marketing campaign  ) , SCRIPT  (Call script  )"
EDTTDS,ETD,TDS file report,Financials,DAS,,,
EFASACT,E21,Evt - update,Fixed Assets,,,,
EFASAFFAGE,E22,Evt - analytical/geo transfer,Fixed Assets,,,,
EFASCCN,E53,Evt - concession attribute update,Fixed Assets,CCN,,,
EFASCCNAGE,E34,Evt - provision transfer,Fixed Assets,CCN,,,
EFASCCNCNL,E32,Evt - asset deletion,Fixed Assets,CCN,,,
EFASCCNISS,E33,Evt - asset disposal provision,Fixed Assets,CCN,,,
EFASCFS,E38,Evt -Classification for sale,Fixed Assets,,,,
EFASCHGIMP,E23,Evt - change acct allocation,Fixed Assets,,,,
EFASCHGPPL,E37,Evt-Production plan change,Fixed Assets,,,,
EFASCNL,E30,Evt - asset deletion,Fixed Assets,,,,
EFASCRT,E24,Evt - asset creation,Fixed Assets,,,,
EFASIML,E25,Evt - impairment loss,Fixed Assets,,,,
TABCONTAINER,TCTR,Freight container,Common Data,,,,"ACODNUM  (Doc sequence numbers  ) , AREPORT  (Report dictionary  ) , TABUNIT  (Table of units of measure  ) , TABCONTAINER  (Freight container  )"
EFASISS,E26,Evt - asset disposal,Fixed Assets,,,,
GTABACC3,GTC3,Balance graph,Financials,,,,"ACONSULT  (Inquiries  ) , GTABACC  (Inquiry screens  )"
EFASLNKCNL,E36,Evt - asset deletion,Fixed Assets,LNK,,,
GTABACC2,GT2,Account inquiries,Financials,,,,"GTABACC  (Inquiry screens  ) , GCOA  (Chart of accounts  )"
EFASMTC,E27,Evt - method change,Fixed Assets,,,,
EFASPLMDR,K33,Evt - Improvement,Fixed Assets,KPL,,,
EFASREEVAL,E28,Evt - revaluation,Fixed Assets,,,,
EFASRNW,E31,Evt- renewal,Fixed Assets,CCN,,,
EFASRNWCNL,E35,Evt - asset deletion,Fixed Assets,CCN,,,
EFASRUCRT,K24,Evt - asset creation,Fixed Assets,KRU,,,
EFASRURST,K32,Evt - restart depreciation,Fixed Assets,,,,
EFASRUSTP,K31,Evt - stop depreciation,Fixed Assets,,,,
EFASVATREG,E29,Evt - adjust. asset sales tax,Fixed Assets,,,,
TABCHANGE,TCH,Currency rate table,Supervisor,,Common data,Common Tables,TABCUR  (Currency table  )
EGRTCASH,E61,Evt - subsidy transfer,Fixed Assets,GRT,,,
TABCUR,TCU,Currency table,Supervisor,,"Accounting,Common data,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Payment,Company and Sites,Business Partner,Common Tables,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Returns,Purchase Invoice,Purchase Price,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Price","TABCUR  (Currency table  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  )"
EGRTCNL,E64,Evt - Subsidy deletion,Fixed Assets,GRT,,,
EGRTCRB,E63,Evt- subsidy reintegration,Fixed Assets,GRT,,,
EGRTCRT,E62,Evt - subsidy creation,Fixed Assets,GRT,,,
ELEAACTU,E41,Evt - contract actualization,Fixed Assets,LEA,,,
ELEACNL,E47,Evt - contract deletion,Fixed Assets,LEA,,,
ELEACRT,E42,Evt - contract creation,Fixed Assets,LEA,,,
ELEAEND,E43,Evt - end of contract,Fixed Assets,LEA,,,
ELEAPAY,E44,Evt - contract fee,Fixed Assets,LEA,,,
ELEARPU,E45,Evt - purchase option exercise,Fixed Assets,LEA,,,
ELEATRM,E46,Evt - contract termination,Fixed Assets,LEA,,,
ELOFCIM,E01,Evt - modify expense account,Fixed Assets,,,,
ELOFCNL,E03,Evt - expense deletion,Fixed Assets,,,,
ELOFVATREG,E02,Evt - sales tax adjust expense,Fixed Assets,,,,
EMODELE,E00,Evt - template table,Fixed Assets,,,,
ENVFIY,ENF,Distribute envelope/fiscal year,Financials,GDD,Accounting,Operating Budgets,ENVELOPPE  (Envelope  )
EPHYAFFGEO,E82,Evt - Phys. asset geo transfer,Fixed Assets,PHY,,,
EPHYCRT,E81,Evt - Physical asset creation,Fixed Assets,PHY,,,
EPHYISS,E83,Evt - Physical asset disposal,Fixed Assets,PHY,,,
EURSRVDCL,ESH,European services declaration,Financials,ESD,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  )"
EURSRVDCLD,ESD,European services declaration,Financials,ESD,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  )"
EVEFAS,EFS,Asset event,Fixed Assets,,,,
EVEGRT,EGT,Subsidy event,Fixed Assets,GRT,,,
EVELEA,ELA,Lease contract event,Fixed Assets,LEA,,,
EVELOF,ELF,Expense event,Fixed Assets,,,,
GACCENTRYA,DAA,Analytical accounting line,Financials,,Accounting,Accounting Entry,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  )"
EXKWORD,EKW,Existing keywords,Help-Desk,,,,
GACCFIX,GAF,Recurring entries,Financials,,,,"TABCUR  (Currency table  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , CADISTMP  (Budget weighting codes  ) , GACCFIX  (Recurring entries  ) , TABPAYTERM  (Payment term table  )"
EXPARAM,EXM,Parameters,A/P-A/R accounting,,,,
GACCFIYENA,FYA,New temporary file,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
EXPENSES,EXS,Expense,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , TABEXPENS  (Expenses tables  )"
GACCFIYEND,FYD,New temporary file,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
GACCINTCPY,GIC,Intercompany journal entry,Financials,INTCO,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , GJOURNAL  (Journal codes  )"
FACGROUP,FGR,Site grouping,Supervisor,,Common data,Company and Sites,"FACILITY  (Sites  ) , AGRPFCY  (Site groupings  )"
GACCINTCPYD,GID,Intercompany journal ent lines,Financials,INTCO,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , GJOURNAL  (Journal codes  ) , CADSP  (Analytical allocations  )"
GCOMMIT,CMM,Commitments,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  )"
GCOMMITD,CMD,Commitment details,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
FAEPAR,FAE,ACCENTFIL setup,Financials,KFR,,,"COMPANY  (Company  ) , PIVOTS  (Pivots  )"
GCOMMITX,CMX,Commitments (ref),Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  )"
FAMPB,PBL,Skill group,Common Data,,Customer relation,Service request,"BPARTNER  (Business partner  ) , FAMPB  (Skill group  )"
GENTLOTH,LOH,Batch entry header,Financials,,Accounting,Accounting Entry By Lot,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , GTYPACCENT  (Document types  )"
FAMPBQUE,PBQ,Corresponding queues,Help-Desk,,,,
GRPCUR,GCU,Currency groups,Financials,,Accounting,Accounting Data,"TABCUR  (Currency table  ) , GRPCUR  (Currency groups  )"
FAMPBREP,PBR,Qualified employees,Help-Desk,,,,
HONLIN,HLN,Fee lines,Financials,DAS,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GTYPACCENT  (Document types  ) , HONPRV  (Service suppliers  )"
FASFAM,FAM,Asset groups,Fixed Assets,,,,
KPYIMPHDR,KPH,Sage 50/Murano payroll header,Financials,KUK,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GTYPACCENT  (Document types  ) , CACCEDEF  (Default dimensions  ) , GAUTACE  (Automatic journals  )"
FIEDIC,FID,Criteria of target,CRM activities,,,,
MTCAUTO,MTU,Automatic matching,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
FIEDICFIE,FDF,Target criteria fields,CRM activities,,,,
MTCGAUTMP,MGT,Document matching preparation,Financials,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GAUTACE  (Automatic journals  )"
PYHCAS,PCH,Treasury interface,Financials,CASIN,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , TABPAM  (Payment mode table  ) , TABPAYTYP  (Payment types  )"
FISCALYEAR,FIY,Fiscal years,Common Data,,,,COMPANY  (Company  )
FISCYEAR,FIS,Fiscal year,Fixed Assets,,,,
TMPBLA,TBL,Temporary print key table,Financials,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , AREPORT  (Report dictionary  ) , CACCE  (Dimensions  ) , TABUNIT  (Table of units of measure  )"
FRECST,FCS,Cost,Common Data,,,,"GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  )"
FREFLD,FRF,Free fields,Fixed Assets,,,,
FRTCOMCOD,FCC,Freight commodity code,Common Data,,,,FRTCOMCOD  (Freight commodity code  )
FUPGRP,FGP,Reminder groups,A/P-A/R accounting,FUP,,,FUPGRP  (Reminder groups  )
FXBLOB,FBB,Special folders,Fixed Assets,,,,
FXDASSETS,FAS,Assets,Fixed Assets,,Fixed assets,Fixed Asset,
FXDLIFL,FLU,Track funds,Fixed Assets,,,,
HISTODUD,HDU,Open item archive,A/P-A/R accounting,HDU,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  )"
FXDLOFGRP,LFG,Grouping of expenses,Fixed Assets,,,,
NETAUTO,NTO,Netting,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
FXDMVT,FXM,Movement import - Header,Fixed Assets,,,,
PAYLOT,PYL,Entry batch,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BANK  (Bank accounts  ) , TABPAYTYP  (Payment types  )"
FXDMVTD,FXD,Movement import - Detail,Fixed Assets,,,,
PAYMENTD,PYD,Payment lines,A/P-A/R accounting,,Accounting,Payment,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , CADSP  (Analytical allocations  ) , GACCDENCOD  (Payment attribute  )"
GACCAUZ,GCA,Compatible accounts,Common Data,KRU,,,"GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
PAYMTCTMP,PMP,Payment matching temp table,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  )"
GACCCODE,CAC,Accounting codes,Common Data,,"Common data,Manufacturing","Company and Sites,Item,Business Partner,Common Tables,Production Cost Calculation","GACCCODE  (Accounting codes  ) , GCOA  (Chart of accounts  )"
PAYMTCTMP2,PM2,Payment matching temp table,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  )"
GACCCODLIG,CCL,Accounting code lines,Common Data,,,,
PAYTMP,PTP,Temporary payments table,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , GAUTACE  (Automatic journals  )"
GACCDEF,GCF,Default accounts,Common Data,,,,"GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
GACCDIM,GCD,Default dimension types,Common Data,,,,"CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , GCOA  (Chart of accounts  )"
PROROG,PRO,Due date extension,A/P-A/R accounting,,Accounting,Payment,"TABCUR  (Currency table  ) , BPARTNER  (Business partner  ) , GCOA  (Chart of accounts  )"
PROROGPCE,PRP,Due date extension,A/P-A/R accounting,,Accounting,Payment,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GJOURNAL  (Journal codes  )"
RBKBELHEA,RBH,Belgian bank statement,A/P-A/R accounting,KBE,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BANK  (Bank accounts  )"
